ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
39,HD,dougie,7,7.0,test,Training randomised Type 2,LEFT,Positive = LEFT,2023-10-09 15:25:36.471599,Experiment_2023-10-09T15:25:36.471599_dougie_7_Training randomised Type 2.log
40,HD,bonnie,8,63.0,test,Training randomised Type 1,RIGHT,Positive = RIGHT,2023-10-09 17:04:07.650916,Experiment_2023-10-09T17:04:07.650916_bonnie_63_Training randomised Type 1.log
41,HD,apollo,9,5.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-09 17:45:46.540359,Experiment_2023-10-09T17:45:46.540359_apollo_5_Training randomised Type 1.log
42,HD,molly,10,6.0,test,Training randomised Type 2,RIGHT,Positive = RIGHT,2023-10-09 18:34:53.096516,Experiment_2023-10-09T18:34:53.096516_molly_6_Training randomised Type 2.log
43,HD,filly,6,9.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-10 09:46:31.020135,Experiment_2023-10-10T09:46:31.020135_filly_9_Test Type 1.log
44,HD,atom,1,7.0,test,Training randomised Type 1,LEFT,Positive = LEFT,2023-10-10 10:31:23.027937,Experiment_2023-10-10T10:31:23.027937_atom_7_Training randomised Type 1.log
45,HD,ash,2,6.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-10 11:11:42.463329,Experiment_2023-10-10T11:11:42.463329_ash_6_Test Type 1.log
46,HD,mowgli,3,5.0,test,Training randomised Type 2,LEFT,Positive = LEFT,2023-10-10 11:38:00.835987,Experiment_2023-10-10T11:38:00.835987_mowgli_5_Training randomised Type 2.log
47,HD,teddy,4,5.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-10 12:20:12.178833,Experiment_2023-10-10T12:20:12.178833_teddy_5_Test Type 1.log
48,HD,dodge,5,5.0,test,Test Type 1,LEFT,Positive =  LEFT,2023-10-10 13:58:22.293380,Experiment_2023-10-10T13:58:22.293380_dodge_5_Test Type 1.log
49,HD,dougie,7,8.0,test,Test Type 1,LEFT,Positive = LEFT,2023-10-10 16:00:54.429454,Experiment_2023-10-10T16:00:54.429454_dougie_8_Test Type 1.log
50,HD,bonnie,8,73.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-10 16:33:32.580268,Experiment_2023-10-10T16:33:32.580268_bonnie_73_Test Type 1.log
51,HD,apollo,9,6.0,test,Training randomised Type 2,LEFT,Positive = LEFT,2023-10-10 17:12:49.514733,Experiment_2023-10-10T17:12:49.514733_apollo_6_Training randomised Type 2.log
52,HD,molly,10,7.0,test,Training randomised Type 1,RIGHT,Positive = RIGHT Windy,2023-10-10 17:48:18.431367,Experiment_2023-10-10T17:48:18.431367_molly_7_Training randomised Type 1.log
53,HD,apollo,9,7.0,test,Test Type 1,LEFT,Positive = LEFT,2023-10-11 09:07:26.645788,Experiment_2023-10-11T09:07:26.645788_apollo_7_Test Type 1.log
54,HD,molly,10,8.0,test,Test Type 1,RIGHT,Positive = RIGHT,2023-10-11 09:46:53.960298,Experiment_2023-10-11T09:46:53.960298_molly_8_Test Type 1.log
55,HD,atom,1,8.0,test,Test Type 1,LEFT,Positive = LEFT,2023-10-11 10:26:14.965471,Experiment_2023-10-11T10:26:14.965471_atom_8_Test Type 1.log
56,HD,atom,1,9.0,test,Test Type 2,LEFT,Positive = LEFT,2023-10-12 12:02:37.453239,Experiment_2023-10-12T12:02:37.453239_atom_9_Test Type 2.log
57,HD,ash,2,8.0,test,Test Type 2,RIGHT,Positive + RIGHT CB T 2 after RP- A 3 criterion,2023-10-16 10:39:05.806462,Experiment_2023-10-16T10:39:05.806462_ash_8_Test Type 2.log
58,HD,mowgli,3,6.0,test,Test Type 2,LEFT,CB -T 2 After RP-A 3 criterion Windy. No footage of RP-A session. ,2023-10-16 11:24:59.900151,Experiment_2023-10-16T11:24:59.900151_mowgli_6_Test Type 2.log
59,HD,filly,6,10.0,test,Test Type 2,RIGHT,"Positive = RIGHT, CBt 2 afer RP A 2 criterion. Leg",2023-10-16 15:32:34.409339,Experiment_2023-10-16T15:32:34.409339_filly_10_Test Type 2.log
60,HD,dougie,7,9.0,test,Test Type 2,LEFT,Positive = RIGHT CBT 2 After RP A 32 Criterion,2023-10-16 16:24:46.288311,Experiment_2023-10-16T16:24:46.288311_dougie_9_Test Type 2.log
61,HD,apollo,9,8.0,test,Test Type 2,LEFT,CB-T 2 ater reaching cRP -A 1 criterion,2023-10-17 11:03:37.586522,Experiment_2023-10-17T11:03:37.586522_apollo_8_Test Type 2.log
62,HD,teddy,4,6.0,test,Test Type 2,RIGHT,CB- T 2  CB test afer RP-A 3 criterion,2023-10-17 12:35:26.511897,Experiment_2023-10-17T12:35:26.511897_teddy_6_Test Type 2.log
63,HD,bonnie,8,77.0,test,Test Type 2,RIGHT,CB T 2 after reaching RP-A 3 criterion,2023-10-17 14:37:07.416285,Experiment_2023-10-17T14:37:07.416285_bonnie_77_Test Type 2.log
64,HD,dodge,5,6.0,test,Test Type 2,LEFT,"CB T 2, after reaching criterion in RP-A 3",2023-10-17 15:27:19.799243,Experiment_2023-10-17T15:27:19.799243_dodge_6_Test Type 2.log
65,HD,molly,10,9.0,test,Test Type 2,RIGHT,CBT2 after reaching criterion RP A 2,2023-10-17 16:49:28.592735,Experiment_2023-10-17T16:49:28.592735_molly_9_Test Type 2.log
66,HD,atom,1,10.0,test,Test Type 3,LEFT,CB- T 3- after reaching RP e criterion in 66 trials to five in a row,2023-10-19 11:50:35.226661,Experiment_2023-10-19T11:50:35.226661_atom_10_Test Type 3.log
67,HD,atom,1,11.0,test,Test Type 1,LEFT,CB T 4 after eaching reinstatement criterion,2023-10-20 10:00:38.306565,Experiment_2023-10-20T10:00:38.306565_atom_11_Test Type 1.log
68,HD,ash,2,9.0,test,Test Type 3,RIGHT,CB-T 3 after reaching extintion criterion,2023-10-20 11:05:31.583763,Experiment_2023-10-20T11:05:31.583763_ash_9_Test Type 3.log
69,HD,mowgli,3,7.0,test,Test Type 3,LEFT,CBT-3 after reaching extiction criterion,2023-10-20 11:51:36.082488,Experiment_2023-10-20T11:51:36.082488_mowgli_7_Test Type 3.log
70,HD,filly,6,11.0,test,Test Type 3,RIGHT,CB T-4 after extinction RP-E criterion,2023-10-20 14:08:54.608210,Experiment_2023-10-20T14:08:54.608210_filly_11_Test Type 3.log
71,HD,dougie,7,10.0,test,Test Type 3,LEFT,CB-T 4 after reaching RP-E criterion,2023-10-20 15:32:07.559818,Experiment_2023-10-20T15:32:07.559818_dougie_10_Test Type 3.log
72,HD,ash,2,10.0,test,Test Type 1,RIGHT,CBTA- after reinstatement criterion reached,2023-10-20 17:37:43.849099,Experiment_2023-10-20T17:37:43.849099_ash_10_Test Type 1.log
73,HD,mowgli,3,8.0,test,Test Type 1,LEFT,CB T -4 After reinstatement criterion,2023-10-21 11:03:39.830387,Experiment_2023-10-21T11:03:39.830387_mowgli_8_Test Type 1.log
74,HD,teddy,4,7.0,test,Test Type 3,RIGHT,CB T-4 after extinction criterion,2023-10-21 12:03:21.675968,Experiment_2023-10-21T12:03:21.675968_teddy_7_Test Type 3.log
75,HD,dodge,5,7.0,test,Test Type 3,LEFT,CB T-3 after extinction criterion,2023-10-21 13:11:05.817830,Experiment_2023-10-21T13:11:05.817830_dodge_7_Test Type 3.log
76,HD,filly,6,12.0,test,Test Type 3,RIGHT,"CH T 4, CB-T ype 1, after reinstatement",2023-10-21 14:15:00.246809,Experiment_2023-10-21T14:15:00.246809_filly_12_Test Type 3.log
77,HD,dougie,7,11.0,test,Test Type 1,LEFT,"CB T4, test type 1 after reinstatement",2023-10-21 15:03:31.439944,Experiment_2023-10-21T15:03:31.439944_dougie_11_Test Type 1.log
78,HD,bonnie,8,78.0,test,Test Type 3,RIGHT,CB T-3 after extinction,2023-10-21 15:57:40.059715,Experiment_2023-10-21T15:57:40.059715_bonnie_78_Test Type 3.log
79,HD,apollo,9,9.0,test,Test Type 3,LEFT,"CB T 3, test type 3 after extinction",2023-10-21 16:51:13.820180,Experiment_2023-10-21T16:51:13.820180_apollo_9_Test Type 3.log
80,HD,molly,10,10.0,test,Test Type 3,RIGHT,CB T-3 after extinction criterion,2023-10-21 17:37:08.203277,Experiment_2023-10-21T17:37:08.203277_molly_10_Test Type 3.log
81,HD,teddy,4,8.0,test,Test Type 1,RIGHT,CB T 4 after RP reinstatement,2023-10-22 09:28:24.865198,Experiment_2023-10-22T09:28:24.865198_teddy_8_Test Type 1.log
82,HD,dodge,5,8.0,test,Test Type 1,LEFT,CB T 4 after RP reinstatement,2023-10-22 10:49:33.650259,Experiment_2023-10-22T10:49:33.650259_dodge_8_Test Type 1.log
83,HD,bonnie,8,79.0,test,Test Type 1,RIGHT,CB -T-4 after Rp reinstatement,2023-10-22 11:36:41.453331,Experiment_2023-10-22T11:36:41.453331_bonnie_79_Test Type 1.log
84,HD,apollo,9,10.0,test,Test Type 1,LEFT,CB T-4 after RP- reinstatement,2023-10-22 12:32:10.229170,Experiment_2023-10-22T12:32:10.229170_apollo_10_Test Type 1.log
85,HD,molly,10,11.0,test,Test Type 1,RIGHT,CB-T 4 after RP-R reinstatement criterion,2023-10-22 13:27:32.965713,Experiment_2023-10-22T13:27:32.965713_molly_11_Test Type 1.log
86,CSU,george,13,1.0,test,Training - fixed,LEFT,CB-F -1,2023-11-12 19:14:04.462174,Experiment_2023-11-12T19:14:04.462174_george_1.0_Training - fixed.log
87,CSU,smudge,12,1.0,test,Training - fixed,RIGHT,CB F 1,2023-11-12 20:44:49.282652,Experiment_2023-11-12T20:44:49.282652_smudge_1.0_Training - fixed.log
88,CSU,myrtle,14,1.0,test,Training - fixed,RIGHT,CB F 1,2023-11-12 21:26:14.605122,Experiment_2023-11-12T21:26:14.605122_myrtle_1.0_Training - fixed.log
89,CSU,nix,16,1.0,test,Training - fixed,RIGHT,CB- F 1,2023-11-12 21:55:51.589728,Experiment_2023-11-12T21:55:51.589728_nix_1.0_Training - fixed.log
90,CSU,yoshi,15,1.0,test,Training - fixed,LEFT,CB F 1,2023-11-12 23:47:07.024641,Experiment_2023-11-12T23:47:07.024641_yoshi_1.0_Training - fixed.log
