ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
141,CSU,jelly,11,6.0,test,Test Type 1,LEFT,CB T 1 Poss = LEFT windy,2023-11-14 17:14:25.139579,Experiment_2023-11-14T17:14:25.139579_jelly_6.0_Test Type 1.log
142,CSU,smudge,12,6.0,test,Training randomised Type 1,RIGHT,CB R 3 Pos = RIGHT,2023-11-14 17:33:48.603698,Experiment_2023-11-14T17:33:48.603698_smudge_6.0_Training randomised Type 1.log
143,CSU,myrtle,14,8.0,test,Test Type 1,RIGHT,CB T 1 restart test,2023-11-14 18:48:28.476282,Experiment_2023-11-14T18:48:28.476282_myrtle_8.0_Test Type 1.log
144,CSU,yoshi,15,6.0,test,Training randomised Type 1,LEFT,CB R 3 Poss =LEFT,2023-11-14 19:16:58.918521,Experiment_2023-11-14T19:16:58.918521_yoshi_6.0_Training randomised Type 1.log
145,CSU,nix,16,8.0,test,Test Type 1,RIGHT,CB T 1 Pos = RIGHT,2023-11-14 19:42:46.106423,Experiment_2023-11-14T19:42:46.106423_nix_8.0_Test Type 1.log
146,CSU,dusty,18,7.0,test,Test Type 1,RIGHT,CB T 1 Pos = RIGHT,2023-11-14 20:37:30.423056,Experiment_2023-11-14T20:37:30.423056_dusty_7.0_Test Type 1.log
147,CSU,freya,19,,test,Test Type 2,LEFT,"CB T 2 after RP A criterion v wi dy, rain",2023-11-14 23:17:57.967289,Experiment_2023-11-14T23:17:57.967289_freya_nan_Test Type 2.log
148,CSU,pumba,21,,test,Test Type 1,LEFT,CB T 1 Pos = LEFT,2023-11-15 00:06:05.447953,Experiment_2023-11-15T00:06:05.447953_pumba_nan_Test Type 1.log
149,CSU,clover,22,,test,Test Type 1,RIGHT,CB T 1 poss = RIGHT,2023-11-15 00:39:50.244185,Experiment_2023-11-15T00:39:50.244185_clover_nan_Test Type 1.log
150,CSU,smudge,12,7.0,test,Test Type 1,RIGHT,CB T 1 Poss = RIGHT,2023-11-15 02:11:18.965110,Experiment_2023-11-15T02:11:18.965110_smudge_7.0_Test Type 1.log
151,CSU,george,13,6.0,test,Test Type 2,LEFT,CB T 2 after RP A 3 acquisition pos = LEFT,2023-11-15 02:59:50.231712,Experiment_2023-11-15T02:59:50.231712_george_6.0_Test Type 2.log
152,CSU,yoshi,15,8.0,test,Test Type 1,LEFT,CB T 1 Poss = LEFT,2023-11-15 03:51:22.577702,Experiment_2023-11-15T03:51:22.577702_yoshi_8.0_Test Type 1.log
153,CSU,nix,16,9.0,test,Test Type 1,RIGHT,CB T 2 after RP A 1 acquisition Poss = LEFT,2023-11-15 04:42:42.109160,Experiment_2023-11-15T04:42:42.109160_nix_9.0_Test Type 1.log
154,CSU,gio,17,6.0,test,Test Type 2,LEFT,CB T 2 after RPA 2 aquitisiton,2023-11-15 05:22:53.513691,Experiment_2023-11-15T05:22:53.513691_gio_6.0_Test Type 2.log
155,CSU,jelly,11,7.0,test,Test Type 2,LEFT,CBT 2 after RP A 4 acquisition,2023-11-15 16:04:18.871968,Experiment_2023-11-15T16:04:18.871968_jelly_7.0_Test Type 2.log
156,CSU,smudge,12,8.0,test,Test Type 2,RIGHT,CB T 2 after acquisition RP A 4 ,2023-11-15 16:42:36.211643,Experiment_2023-11-15T16:42:36.211643_smudge_8.0_Test Type 2.log
157,CSU,myrtle,14,9.0,test,Test Type 2,RIGHT,CBT 2 after RP A 3 acquisition,2023-11-15 17:59:06.826933,Experiment_2023-11-15T17:59:06.826933_myrtle_9.0_Test Type 2.log
158,CSU,yoshi,15,9.0,test,Test Type 2,LEFT,CB T 2 after RP A 2 acquisition,2023-11-15 18:35:59.371714,Experiment_2023-11-15T18:35:59.371714_yoshi_9.0_Test Type 2.log
159,CSU,dusty,18,8.0,test,Test Type 2,RIGHT,CB T 2 after RP A 3 acquisition,2023-11-15 20:13:26.521959,Experiment_2023-11-15T20:13:26.521959_dusty_8.0_Test Type 2.log
160,CSU,clover,22,,test,Test Type 2,RIGHT,CB T 2 after RP A 3 acqusition criterion,2023-11-15 23:18:27.463685,Experiment_2023-11-15T23:18:27.463685_clover_nan_Test Type 2.log
161,CSU,pumba,21,,test,Test Type 2,LEFT,CB T 2 after RP A 4 acquisition criterion,2023-11-16 00:37:29.832581,Experiment_2023-11-16T00:37:29.832581_pumba_nan_Test Type 2.log
162,CSU,freya,19,,test,Test Type 3,LEFT,Cb T 3 aftter RP E raining,2023-11-16 05:15:17.737341,Experiment_2023-11-16T05:15:17.737341_freya_nan_Test Type 3.log
163,CSU,george,13,7.0,test,Test Type 3,LEFT,CB T 3 after RP E acquisition,2023-11-16 07:57:12.097353,Experiment_2023-11-16T07:57:12.097353_george_7.0_Test Type 3.log
164,CSU,nix,16,10.0,test,Test Type 3,RIGHT,CBT 3 after RP E ,2023-11-16 09:12:31.465402,Experiment_2023-11-16T09:12:31.465402_nix_10.0_Test Type 3.log
165,CSU,gio,17,7.0,test,Test Type 3,LEFT,CB T 3 after RP E,2023-11-16 09:54:53.813828,Experiment_2023-11-16T09:54:53.813828_gio_7.0_Test Type 3.log
166,CSU,freya,19,,test,Test Type 1,LEFT,CB T 4 after RP R,2023-11-16 11:37:18.984569,Experiment_2023-11-16T11:37:18.984569_freya_nan_Test Type 1.log
167,CSU,jelly,11,8.0,test,Test Type 3,LEFT,CB T 3 after RP E arena is slippery,2023-11-16 13:01:14.550048,Experiment_2023-11-16T13:01:14.550048_jelly_8.0_Test Type 3.log
168,CSU,smudge,12,9.0,test,Test Type 3,RIGHT,CB T 3 after RP E ,2023-11-16 13:46:25.228604,Experiment_2023-11-16T13:46:25.228604_smudge_9.0_Test Type 3.log
169,CSU,george,13,8.0,test,Test Type 1,LEFT,CB T 4 after RP R,2023-11-16 14:31:05.230974,Experiment_2023-11-16T14:31:05.230974_george_8.0_Test Type 1.log
170,CSU,nix,16,11.0,test,Test Type 1,RIGHT,CB T 4 after RP R,2023-11-16 15:46:42.899255,Experiment_2023-11-16T15:46:42.899255_nix_11.0_Test Type 1.log
171,CSU,gio,17,9.0,test,Test Type 1,LEFT,CB T 4 after RP R second file,2023-11-16 17:55:24.333022,Experiment_2023-11-16T17:55:24.333022_gio_9.0_Test Type 1.log
172,CSU,jelly,11,9.0,test,Test Type 1,LEFT,CB T 4 after RP R,2023-11-16 19:24:59.492473,Experiment_2023-11-16T19:24:59.492473_jelly_9.0_Test Type 1.log
173,CSU,smudge,12,10.0,test,Test Type 1,RIGHT,CBT 4 after RP E = two RP ER sessions,2023-11-16 20:27:00.214523,Experiment_2023-11-16T20:27:00.214523_smudge_10.0_Test Type 1.log
174,CSU,myrtle,14,10.0,test,Test Type 3,RIGHT,CB T 3 after RP E ,2023-11-16 21:17:46.006067,Experiment_2023-11-16T21:17:46.006067_myrtle_10.0_Test Type 3.log
175,CSU,yoshi,15,10.0,test,Test Type 3,LEFT,CB T 3 after RP E,2023-11-16 22:01:25.798273,Experiment_2023-11-16T22:01:25.798273_yoshi_10.0_Test Type 3.log
176,CSU,dusty,18,9.0,test,Test Type 3,RIGHT,CB T 3 after RP E ,2023-11-16 23:55:33.357304,Experiment_2023-11-16T23:55:33.357304_dusty_9.0_Test Type 3.log
177,CSU,pumba,21,,test,Test Type 3,LEFT,CB T 3 after RP E,2023-11-17 00:36:27.593791,Experiment_2023-11-17T00:36:27.593791_pumba_nan_Test Type 3.log
178,CSU,clover,22,,test,Test Type 3,RIGHT,CB T 3 after RP E,2023-11-17 01:23:36.375164,Experiment_2023-11-17T01:23:36.375164_clover_nan_Test Type 3.log
179,CSU,myrtle,14,11.0,test,Test Type 1,RIGHT,CB T 4 after RP R,2023-11-17 02:45:25.056724,Experiment_2023-11-17T02:45:25.056724_myrtle_11.0_Test Type 1.log
180,CSU,yoshi,15,11.0,test,Test Type 1,LEFT,CB T 4 after RP R,2023-11-17 03:22:54.109367,Experiment_2023-11-17T03:22:54.109367_yoshi_11.0_Test Type 1.log
181,CSU,dusty,18,10.0,test,Test Type 1,RIGHT,CB T 4 after RP R,2023-11-17 04:05:53.213724,Experiment_2023-11-17T04:05:53.213724_dusty_10.0_Test Type 1.log
182,CSU,dusty,18,11.0,test,Test Type 1,RIGHT,CBT 4 after RP R,2023-11-17 04:39:51.602365,Experiment_2023-11-17T04:39:51.602365_dusty_11.0_Test Type 1.log
183,CSU,clover,22,,test,Test Type 1,RIGHT,CB T 4 after RP R,2023-11-17 05:22:49.445377,Experiment_2023-11-17T05:22:49.445377_clover_nan_Test Type 1.log


/* Purpose:
Retrieves all Experiments
*/

/* SQL Query:
SELECT * EXCLUDE PARAMETERS
FROM ExperimentCBs
*/
