66,Experiment_2023-11-14T12:13:40.543722_dusty_6.0_Training randomised Type 1.log,dusty,Training randomised Type 1,6,2023-11-14 12:13:40.543722,0 days 07:34:43.882877
67,Experiment_2023-11-14T20:37:30.423056_dusty_7.0_Test Type 1.log,dusty,Test Type 1,7,2023-11-14 20:37:30.423056,0 days 08:23:49.879334
68,Experiment_2023-11-15T20:13:26.521959_dusty_8.0_Test Type 2.log,dusty,Test Type 2,8,2023-11-15 20:13:26.521959,0 days 23:35:56.098903
69,Experiment_2023-11-16T23:55:33.357304_dusty_9.0_Test Type 3.log,dusty,Test Type 3,9,2023-11-16 23:55:33.357304,1 days 03:42:06.835345
70,Experiment_2023-11-17T04:05:53.213724_dusty_10.0_Test Type 1.log,dusty,Test Type 1,10,2023-11-17 04:05:53.213724,0 days 04:10:19.856420
71,Experiment_2023-11-17T04:39:51.602365_dusty_11.0_Test Type 1.log,dusty,Test Type 1,11,2023-11-17 04:39:51.602365,0 days 00:33:58.388641
72,Experiment_2023-10-06T16:43:49.516057_filly_4_Training - fixed.log,filly,Training - fixed,4,2023-10-06 16:43:49.516057,-42 days +12:03:57.913692
73,Experiment_2023-10-07T15:21:21.434899_filly_5_Training - fixed.log,filly,Training - fixed,5,2023-10-07 15:21:21.434899,0 days 22:37:31.918842
74,Experiment_2023-10-08T13:50:54.095550_filly_6_Training randomised Type 1.log,filly,Training randomised Type 1,6,2023-10-08 13:50:54.095550,0 days 22:29:32.660651
75,Experiment_2023-10-09T15:20:02.348892_filly_8_Test Type 1.log,filly,Test Type 1,8,2023-10-09 15:20:02.348892,1 days 01:29:08.253342
76,Experiment_2023-10-10T09:46:31.020135_filly_9_Test Type 1.log,filly,Test Type 1,9,2023-10-10 09:46:31.020135,0 days 18:26:28.671243
77,Experiment_2023-10-16T15:32:34.409339_filly_10_Test Type 2.log,filly,Test Type 2,10,2023-10-16 15:32:34.409339,6 days 05:46:03.389204
78,Experiment_2023-10-20T14:08:54.608210_filly_11_Test Type 3.log,filly,Test Type 3,11,2023-10-20 14:08:54.608210,3 days 22:36:20.198871
79,Experiment_2023-10-21T14:15:00.246809_filly_12_Test Type 3.log,filly,Test Type 3,12,2023-10-21 14:15:00.246809,1 days 00:06:05.638599
80,Experiment_2023-11-16T05:15:17.737341_freya_nan_Test Type 3.log,freya,Test Type 3,,2023-11-16 05:15:17.737341,25 days 15:00:17.490532
81,Experiment_2023-11-16T11:37:18.984569_freya_nan_Test Type 1.log,freya,Test Type 1,,2023-11-16 11:37:18.984569,0 days 06:22:01.247228
82,Experiment_2023-11-13T10:57:03.527161_freya_nan_Training - fixed.log,freya,Training - fixed,,2023-11-13 10:57:03.527161,-4 days +23:19:44.542592
83,Experiment_2023-11-14T23:17:57.967289_freya_nan_Test Type 2.log,freya,Test Type 2,,2023-11-14 23:17:57.967289,1 days 12:20:54.440128
84,Experiment_2023-11-13T01:52:41.875007_freya_nan_Training - fixed.log,freya,Training - fixed,,2023-11-13 01:52:41.875007,-2 days +02:34:43.907718
85,Experiment_2023-11-14T05:29:24.069610_freya_nan_Test Type 1.log,freya,Test Type 1,,2023-11-14 05:29:24.069610,1 days 03:36:42.194603
86,Experiment_2023-11-13T19:19:51.364628_freya_nan_Training randomised Type 1.log,freya,Training randomised Type 1,,2023-11-13 19:19:51.364628,-1 days +13:50:27.295018
87,Experiment_2023-11-12T19:14:04.462174_george_1.0_Training - fixed.log,george,Training - fixed,1,2023-11-12 19:14:04.462174,-2 days +23:54:13.097546
88,Experiment_2023-11-13T06:05:07.391993_george_2.0_Training - fixed.log,george,Training - fixed,2,2023-11-13 06:05:07.391993,0 days 10:51:02.929819
89,Experiment_2023-11-13T14:49:56.787891_george_3.0_Training randomised Type 1.log,george,Training randomised Type 1,3,2023-11-13 14:49:56.787891,0 days 08:44:49.395898
90,Experiment_2023-11-14T00:25:42.956340_george_5.0_Test Type 1.log,george,Test Type 1,5,2023-11-14 00:25:42.956340,0 days 09:35:46.168449
91,Experiment_2023-11-15T02:59:50.231712_george_6.0_Test Type 2.log,george,Test Type 2,6,2023-11-15 02:59:50.231712,1 days 02:34:07.275372
92,Experiment_2023-11-16T07:57:12.097353_george_7.0_Test Type 3.log,george,Test Type 3,7,2023-11-16 07:57:12.097353,1 days 04:57:21.865641
93,Experiment_2023-11-16T14:31:05.230974_george_8.0_Test Type 1.log,george,Test Type 1,8,2023-11-16 14:31:05.230974,0 days 06:33:53.133621
94,Experiment_2023-11-13T00:39:24.776854_gio_1.0_Training - fixed.log,gio,Training - fixed,1,2023-11-13 00:39:24.776854,-4 days +10:08:19.545880
95,Experiment_2023-11-13T08:28:59.797750_gio_2.0_Training - fixed.log,gio,Training - fixed,2,2023-11-13 08:28:59.797750,0 days 07:49:35.020896
