TrialID,ExperimentID,TrialNumber,TrialStartTime,TrialEndTime
1992,132,20,2023-11-15 06:01:17.646645,2023-11-15 06:16:22.203542
1993,133,1,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1994,133,2,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1995,133,3,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1996,133,4,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1997,133,5,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1998,133,6,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
1999,133,7,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2000,133,8,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2001,133,9,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2002,133,10,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2003,133,11,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2004,133,12,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2005,133,13,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2006,133,14,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2007,133,15,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2008,133,16,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2009,133,17,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2010,133,18,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2011,133,19,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2012,133,20,2023-11-15 07:44:11.832118,2023-11-15 07:53:31.853667
2013,134,1,2023-11-15 08:07:04.136602,2023-11-15 08:21:27.995957
2014,134,2,2023-11-15 08:07:04.136602,2023-11-15 08:21:27.995957
2015,134,3,2023-11-15 08:07:04.136602,2023-11-15 08:21:27.995957
2016,134,4,2023-11-15 08:07:04.136602,2023-11-15 08:21:27.995957
2017,134,5,2023-11-15 08:07:04.136602,2023-11-15 08:21:27.995957
