24,Experiment_2023-10-18T09:35:29.804367_atom_3_RPE-H.log,atom,RPE-H,3,2023-10-18 09:35:29.804367,0 days 23:52:38.753066
25,Experiment_2023-10-18T10:40:53.980873_atom_4_RPE-H.log,atom,RPE-H,4,2023-10-18 10:40:53.980873,0 days 01:05:24.176506
26,Experiment_2023-10-18T10:52:26.644001_atom_5_RPE-H.log,atom,RPE-H,5,2023-10-18 10:52:26.644001,0 days 00:11:32.663128
27,Experiment_2023-10-19T11:08:11.283839_atom_6_RPE-E.log,atom,RPE-E,6,2023-10-19 11:08:11.283839,1 days 00:15:44.639838
28,Experiment_2023-10-19T11:19:38.380121_atom_7_RPE-E.log,atom,RPE-E,7,2023-10-19 11:19:38.380121,0 days 00:11:27.096282
29,Experiment_2023-10-20T09:45:25.477033_atom_8_RPE-ER.log,atom,RPE-ER,8,2023-10-20 09:45:25.477033,0 days 22:25:47.096912
30,Experiment_2023-10-20T09:49:19.577983_atom_9_RPE-R.log,atom,RPE-R,9,2023-10-20 09:49:19.577983,0 days 00:03:54.100950
31,Experiment_2023-10-01T21:30:25.370452_bonnie_1_RPE-ER.log,bonnie,RPE-ER,1,2023-10-01 21:30:25.370452,-19 days +11:41:05.792469
32,Experiment_2023-10-02T21:28:43.621970_bonnie_2_RPE-R.log,bonnie,RPE-R,2,2023-10-02 21:28:43.621970,0 days 23:58:18.251518
33,Experiment_2023-10-02T21:29:38.930298_bonnie_3_RPE-E.log,bonnie,RPE-E,3,2023-10-02 21:29:38.930298,0 days 00:00:55.308328
34,Experiment_2023-10-02T21:35:17.816459_bonnie_4_RPE-E.log,bonnie,RPE-E,4,2023-10-02 21:35:17.816459,0 days 00:05:38.886161
35,Experiment_2023-10-02T21:36:35.129533_bonnie_5_RPE-E.log,bonnie,RPE-E,5,2023-10-02 21:36:35.129533,0 days 00:01:17.313074
36,Experiment_2023-10-02T21:47:20.552173_bonnie_6_RPE-E.log,bonnie,RPE-E,6,2023-10-02 21:47:20.552173,0 days 00:10:45.422640
37,Experiment_2023-10-02T21:48:30.671177_bonnie_7_RPE-E.log,bonnie,RPE-E,7,2023-10-02 21:48:30.671177,0 days 00:01:10.119004
38,Experiment_2023-10-02T21:49:55.243461_bonnie_8_RPE-E.log,bonnie,RPE-E,8,2023-10-02 21:49:55.243461,0 days 00:01:24.572284
39,Experiment_2023-10-02T21:54:24.204888_bonnie_9_RPE-E.log,bonnie,RPE-E,9,2023-10-02 21:54:24.204888,0 days 00:04:28.961427
40,Experiment_2023-10-03T14:14:32.928978_bonnie_10_RPE-A.log,bonnie,RPE-A,10,2023-10-03 14:14:32.928978,0 days 16:20:08.724090
41,Experiment_2023-10-03T14:21:10.046385_bonnie_11_RPE-A.log,bonnie,RPE-A,11,2023-10-03 14:21:10.046385,0 days 00:06:37.117407
42,Experiment_2023-10-03T14:44:59.283475_bonnie_12_RPE-H.log,bonnie,RPE-H,12,2023-10-03 14:44:59.283475,0 days 00:23:49.237090
43,Experiment_2023-10-03T14:46:54.142393_bonnie_13_RPE-A.log,bonnie,RPE-A,13,2023-10-03 14:46:54.142393,0 days 00:01:54.858918
44,Experiment_2023-10-03T14:49:19.788722_bonnie_14_RPE-E.log,bonnie,RPE-E,14,2023-10-03 14:49:19.788722,0 days 00:02:25.646329
45,Experiment_2023-10-03T14:55:06.781765_bonnie_15_RPE-ER.log,bonnie,RPE-ER,15,2023-10-03 14:55:06.781765,0 days 00:05:46.993043
46,Experiment_2023-10-03T15:46:19.429509_bonnie_16_RPE-ER.log,bonnie,RPE-ER,16,2023-10-03 15:46:19.429509,0 days 00:51:12.647744
47,Experiment_2023-10-03T15:47:58.851744_bonnie_17_RPE-ER.log,bonnie,RPE-ER,17,2023-10-03 15:47:58.851744,0 days 00:01:39.422235
48,Experiment_2023-10-03T15:49:53.434406_bonnie_18_RPE-ER.log,bonnie,RPE-ER,18,2023-10-03 15:49:53.434406,0 days 00:01:54.582662
49,Experiment_2023-10-03T15:51:18.338653_bonnie_19_RPE-ER.log,bonnie,RPE-ER,19,2023-10-03 15:51:18.338653,0 days 00:01:24.904247
50,Experiment_2023-10-03T15:53:05.046783_bonnie_20_RPE-ER.log,bonnie,RPE-ER,20,2023-10-03 15:53:05.046783,0 days 00:01:46.708130
51,Experiment_2023-10-03T15:55:12.230656_bonnie_21_RPE-ER.log,bonnie,RPE-ER,21,2023-10-03 15:55:12.230656,0 days 00:02:07.183873
52,Experiment_2023-10-03T15:55:57.824712_bonnie_22_RPE-ER.log,bonnie,RPE-ER,22,2023-10-03 15:55:57.824712,0 days 00:00:45.594056
53,Experiment_2023-10-03T15:57:14.387878_bonnie_23_RPE-ER.log,bonnie,RPE-ER,23,2023-10-03 15:57:14.387878,0 days 00:01:16.563166
54,Experiment_2023-10-03T16:28:37.069473_bonnie_24_RPE-A.log,bonnie,RPE-A,24,2023-10-03 16:28:37.069473,0 days 00:31:22.681595
55,Experiment_2023-10-03T16:51:19.423426_bonnie_25_RPE-A.log,bonnie,RPE-A,25,2023-10-03 16:51:19.423426,0 days 00:22:42.353953
56,Experiment_2023-10-03T17:01:21.834253_bonnie_26_RPE-A.log,bonnie,RPE-A,26,2023-10-03 17:01:21.834253,0 days 00:10:02.410827
57,Experiment_2023-10-03T17:06:11.348668_bonnie_27_RPE-A.log,bonnie,RPE-A,27,2023-10-03 17:06:11.348668,0 days 00:04:49.514415
